"code","name","formal_name","code_table_item_id_i2","code_table_item_id_i3","code_table_item_id_i1","code_table_item_id_i4","code_table_item_id_i5","code_table_item_id_i6"
"112001410",時間外特例医療機関加算（再診）（入院外）,時間外特例医療機関加算（再診）（入院外）,1,1,A,1,0,4
"112006070",乳幼児時間外特例医療機関加算（再診）（小児科外来診療料）,乳幼児時間外特例医療機関加算（再診）（小児科外来診療料）,2,1,B,1,2,3
"112006270",乳幼児加算（外来診療料）,乳幼児加算（外来診療料）,1,1,A,2,0,4
"112006470",時間外加算（外来診療料）（入院外）,時間外加算（外来診療料）（入院外）,1,1,A,2,0,5
"112006570",休日加算（外来診療料）（入院外）,休日加算（外来診療料）（入院外）,1,1,A,2,0,5
"112006670",深夜加算（外来診療料）（入院外）,深夜加算（外来診療料）（入院外）,1,1,A,2,0,5
"112006770",時間外特例医療機関加算（外来診療料）（入院外）,時間外特例医療機関加算（外来診療料）（入院外）,1,1,A,2,0,5
"112007410",再診料,再診料（一般病床２００床以上の病院を除く）,1,1,A,1,0,0
"112007950",電話等再診料,電話等再診料（一般病床２００床以上の病院を除く）,1,1,A,1,0,0
"112008350",同日再診料,同日再診料（一般病床２００床以上の病院を除く）,1,1,A,1,0,0
"112008850",同日電話等再診料,同日電話等再診料（一般病床２００床以上の病院を除く）,1,1,A,1,0,0
"112011010",外来管理加算,外来管理加算（再診）,1,1,A,1,0,7
"112011310",外来診療料,外来診療料,1,1,A,2,0,0
"112011710",同日外来診療料,同日外来診療料,1,1,A,2,0,0
"112014170",乳幼児夜間加算（小児科再診）（入院外）,乳幼児夜間加算（小児科再診）（入院外）,1,1,A,1,0,5
"112014270",乳幼児休日加算（小児科再診）（入院外）,乳幼児休日加算（小児科再診）（入院外）,1,1,A,1,0,5
"112014370",乳幼児深夜加算（小児科再診）（入院外）,乳幼児深夜加算（小児科再診）（入院外）,1,1,A,1,0,5
"112014470",乳幼児夜間加算（小児科・外来診療料）（入院外）,乳幼児夜間加算（小児科・外来診療料）（入院外）,1,1,A,2,0,6
"112014570",乳幼児休日加算（小児科・外来診療料）（入院外）,乳幼児休日加算（小児科・外来診療料）（入院外）,1,1,A,2,0,6
"112014670",乳幼児深夜加算（小児科・外来診療料）（入院外）,乳幼児深夜加算（小児科・外来診療料）（入院外）,1,1,A,2,0,6
"112014770",乳幼児時間外加算（再診）（入院外）,乳幼児時間外加算（再診）（入院外）,1,1,A,1,0,4
"112014870",乳幼児休日加算（再診）（入院外）,乳幼児休日加算（再診）（入院外）,1,1,A,1,0,4
"112014970",乳幼児深夜加算（再診）（入院外）,乳幼児深夜加算（再診）（入院外）,1,1,A,1,0,4
"112015070",乳幼児時間外特例医療機関加算（再診）（入院外）,乳幼児時間外特例医療機関加算（再診）（入院外）,1,1,A,1,0,4
"112015170",乳幼児時間外加算（外来診療料）（入院外）,乳幼児時間外加算（外来診療料）（入院外）,1,1,A,2,0,5
"112015270",乳幼児休日加算（外来診療料）（入院外）,乳幼児休日加算（外来診療料）（入院外）,1,1,A,2,0,5
"112015370",乳幼児深夜加算（外来診療料）（入院外）,乳幼児深夜加算（外来診療料）（入院外）,1,1,A,2,0,5
"112015470",乳幼児時間外特例医療機関加算（外来診療料）（入院外）,乳幼児時間外特例医療機関加算（外来診療料）（入院外）,1,1,A,2,0,5
"112015570",夜間・早朝等加算（再診）,夜間・早朝等加算（再診）,1,1,A,1,0,6
"112015670",時間外対応加算２,時間外対応加算２,1,1,A,1,0,8
"112015770",明細書発行体制等加算,明細書発行体制等加算,1,1,A,1,0,9
"112015810",再診料（同一日複数科受診時の２科目）,再診料（同一日複数科受診時の２科目の場合）（一般病床２００床以上の病院を除く）（複再）,1,1,A,1,0,2
"112015950",電話等再診料（同一日複数科受診時の２科目）,電話等再診料（同一日複数科受診時の２科目の場合）（一般病床２００床以上の病院を除く）（複再）,1,1,A,1,0,2
"112016070",時間外対応加算１,時間外対応加算１,1,1,A,1,0,8
"112016170",時間外対応加算３,時間外対応加算３,1,1,A,1,0,8
"112016210",外来診療料（同一日複数科受診時の２科目）,外来診療料（同一日複数科受診時の２科目の場合）（複外診）,1,1,A,2,0,3
"112016310",外来診療料（他医療機関へ文書紹介の申出を行っている患者）,外来診療料（他の医療機関に対して文書による紹介を行う旨の申出を行っている患者）（外診減）,1,1,A,2,0,1
"112016410",外来診療料（同一日複数科受診時の２科目・文書紹介申出患者）,外来診療料（同一日複数科受診時の２科目・他の医療機関に対して文書による紹介を行う旨の申出を行っている患者の場合）（複外診減）,1,1,A,2,0,3
"112016550",同日外来診療料（他医療機関へ文書紹介の申出を行っている患者）,同日外来診療料（他の医療機関に対して文書による紹介を行う旨の申出を行っている患者）（外診減）,1,1,A,2,0,1
"112016610",特定妥結率再診料,特定妥結率再診料（許可病床数が２００床以上の病院）,1,1,A,1,0,1
"112016750",電話等特定妥結率再診料,電話等特定妥結率再診料（許可病床数が２００床以上の病院）,1,1,A,1,0,1
"112016850",同日特定妥結率再診料,同日特定妥結率再診料（許可病床数が２００床以上の病院）,1,1,A,1,0,1
"112016950",同日電話等特定妥結率再診料,同日電話等特定妥結率再診料（許可病床数が２００床以上の病院）,1,1,A,1,0,1
"112017010",特定妥結率再診料（同一日複数科受診時の２科目）,特定妥結率再診料（同一日複数科受診時の２科目）（許可病床数が２００床以上の病院）,1,1,A,1,0,2
"112017150",電話等特定妥結率再診料（同一日複数科受診時の２科目）,電話等特定妥結率再診料（同一日複数科受診時の２科目）（許可病床数が２００床以上の病院）,1,1,A,1,0,2
"112017270",地域包括診療加算２,地域包括診療加算２,1,1,A,1,0,10
"112017310",特定妥結率外来診療料,特定妥結率外来診療料,1,1,A,2,0,2
"112017450",同日特定妥結率外来診療料,同日特定妥結率外来診療料,1,1,A,2,0,2
"112017570",認知症地域包括診療加算２,認知症地域包括診療加算２,1,1,A,1,0,11
"112017610",特定妥結率外来診療料（同一日複数科受診時の２科目）,特定妥結率外来診療料（同一日複数科受診時の２科目）,1,1,A,2,0,3
"112017790",時間外加算（再診）（入院）,時間外加算（再診）（入院）,1,1,A,0,0,0
"112017890",休日加算（再診）（入院）,休日加算（再診）（入院）,1,1,A,0,0,0
"112017990",深夜加算（再診）（入院）,深夜加算（再診）（入院）,1,1,A,0,0,0
"112018090",乳幼児時間外加算（再診）（入院）,乳幼児時間外加算（再診）（入院）,1,1,A,0,0,0
"112018190",乳幼児休日加算（再診）（入院）,乳幼児休日加算（再診）（入院）,1,1,A,0,0,0
"112018290",乳幼児深夜加算（再診）（入院）,乳幼児深夜加算（再診）（入院）,1,1,A,0,0,0
"112018390",時間外特例医療機関加算（再診）（入院）,時間外特例医療機関加算（再診）（入院）,1,1,A,0,0,0
"112018490",乳幼児時間外特例医療機関加算（再診）（入院）,乳幼児時間外特例医療機関加算（再診）（入院）,1,1,A,0,0,0
"112018590",乳幼児夜間加算（小児科再診）（入院）,乳幼児夜間加算（小児科再診）（入院）,1,1,A,0,0,0
"112018690",乳幼児休日加算（小児科再診）（入院）,乳幼児休日加算（小児科再診）（入院）,1,1,A,0,0,0
"112018790",乳幼児深夜加算（小児科再診）（入院）,乳幼児深夜加算（小児科再診）（入院）,1,1,A,0,0,0
"112018890",時間外加算（外来診療料）（入院）,時間外加算（外来診療料）（入院）,1,1,A,0,0,0
"112018990",休日加算（外来診療料）（入院）,休日加算（外来診療料）（入院）,1,1,A,0,0,0
"112019090",深夜加算（外来診療料）（入院）,深夜加算（外来診療料）（入院）,1,1,A,0,0,0
"112019190",乳幼児時間外加算（外来診療料）（入院）,乳幼児時間外加算（外来診療料）（入院）,1,1,A,0,0,0
"112019290",乳幼児休日加算（外来診療料）（入院）,乳幼児休日加算（外来診療料）（入院）,1,1,A,0,0,0
"112019390",時間外特例医療機関加算（外来診療料）（入院）,時間外特例医療機関加算（外来診療料）（入院）,1,1,A,0,0,0
"112019490",乳幼児深夜加算（外来診療料）（入院）,乳幼児深夜加算（外来診療料）（入院）,1,1,A,0,0,0
"112019590",乳幼児時間外特例医療機関加算（外来診療料）（入院）,乳幼児時間外特例医療機関加算（外来診療料）（入院）,1,1,A,0,0,0
"112019690",乳幼児夜間加算（小児科・外来診療料）（入院）,乳幼児夜間加算（小児科・外来診療料）（入院）,1,1,A,0,0,0
"112019790",乳幼児休日加算（小児科・外来診療料）（入院）,乳幼児休日加算（小児科・外来診療料）（入院）,1,1,A,0,0,0
"112019890",乳幼児深夜加算（小児科・外来診療料）（入院）,乳幼児深夜加算（小児科・外来診療料）（入院）,1,1,A,0,0,0
"112021770",地域包括診療加算１,地域包括診療加算１,1,1,A,1,0,10
"112021870",認知症地域包括診療加算１,認知症地域包括診療加算１,1,1,A,1,0,11
"112021970",薬剤適正使用連携加算（再診）,薬剤適正使用連携加算（再診）,1,1,A,1,0,12
"112023210",オンライン診療料,オンライン診療料（月１回）,1,1,A,3,0,0
"112023350",電話等再診料（３０年３月以前継続）,電話等再診料（一般病床２００床以上の病院を除く）（３０年３月以前継続）,1,1,A,1,0,0
"112023450",同日電話等再診料（３０年３月以前継続）,同日電話等再診料（一般病床２００床以上の病院を除く）（３０年３月以前継続）,1,1,A,1,0,0
"112023550",電話等再診料（同一日複数科受診時の２科目）（３０年３月以前継続）,電話等再診料（同一日複数科受診時の２科目の場合）（一般病床２００床以上の病院を除く）（複再）（３０年３月以前継続）,1,1,A,1,0,2
"112023650",電話等特定妥結率再診料（３０年３月以前継続）,電話等特定妥結率再診料（許可病床数が２００床以上の病院）（３０年３月以前継続）,1,1,A,1,0,1
"112023750",同日電話等特定妥結率再診料（３０年３月以前継続）,同日電話等特定妥結率再診料（許可病床数が２００床以上の病院）（３０年３月以前継続）,1,1,A,1,0,1
"112023850",電話等特定妥結率再診料（同一日複数科２科目・３０年３月以前継続）,電話等特定妥結率再診料（同一日複数科受診時の２科目）（許可病床数が２００床以上の病院）（３０年３月以前継続）,1,1,A,1,0,2
"112023970",乳幼児感染予防策加算（再診料・外来診療料・診療報酬上臨時的取扱）,乳幼児感染予防策加算（再診料・外来診療料・診療報酬上臨時的取扱）,1,1,A,999,0,0
"112024070",医科外来等感染症対策実施加算（再診料・外来診療料）,医科外来等感染症対策実施加算（再診料・外来診療料）,1,1,A,999,0,0
"112024170",二類感染症患者入院診療加算（電話等再診料・診療報酬上臨時的取扱）,二類感染症患者入院診療加算（１日につき）（電話等再診料）（新型コロナウイルス感染症・診療報酬上の臨時的な取扱い）,1,2,A,210,0,2
"113000310",ウイルス疾患指導料１,ウイルス疾患指導料１,2,1,B,1,0,1
"113000410",特定薬剤治療管理料１,特定薬剤治療管理料１,2,1,B,1,0,2
"113000510",特定薬剤治療管理料１（第４月目以降）,特定薬剤治療管理料１（第４月目以降）,2,1,B,1,0,2
"113000670",特定薬剤治療管理加算（臓器移植月から３月）,特定薬剤治療管理加算（臓器移植月を含め３月限り）,2,1,B,1,0,2
"113000770",特定薬剤治療管理加算（臓器移植後等の患者以外）（第１回目）,特定薬剤治療管理加算（臓器移植後等の患者以外）（第１回目）,2,1,B,1,0,2
"113000810",小児特定疾患カウンセリング料（医師）（月の１回目）,小児特定疾患カウンセリング料（医師による場合）（月の１回目）,2,1,B,1,0,4
"113000910",皮膚科特定疾患指導管理料（１）,皮膚科特定疾患指導管理料（１）,2,1,B,1,0,8
"113001110",放射線治療管理料（１門照射）,放射線治療管理料（分布図の作成１回につき）（１門照射を行った場合）,2,12,M,0,0,1
"113001210",悪性腫瘍特異物質治療管理料（尿中ＢＴＡ）,悪性腫瘍特異物質治療管理料（尿中ＢＴＡに係るもの）,2,1,B,1,0,3
"113001310",悪性腫瘍特異物質治療管理料（その他・１項目）,悪性腫瘍特異物質治療管理料（その他のもの）（１項目）,2,1,B,1,0,3
"113001470",腫瘍マーカー検査初回月加算,腫瘍マーカー検査初回月加算,2,1,B,1,0,3
"113001810",特定疾患療養管理料（診療所）,特定疾患療養管理料（診療所）,2,1,B,0,0,1
"113001910",特定疾患療養管理料（１００床未満）,特定疾患療養管理料（１００床未満の病院）,2,1,B,0,0,2
"113002010",特定疾患療養管理料（１００床以上２００床未満）,特定疾患療養管理料（１００床以上２００床未満の病院）,2,1,B,0,0,3
"113002110",悪性腫瘍特異物質治療管理料（その他・２項目以上）,悪性腫瘍特異物質治療管理料（その他のもの）（２項目以上）,2,1,B,1,0,3
"113002210",小児科療養指導料,小児科療養指導料,2,1,B,1,0,5
"113002310",皮膚科特定疾患指導管理料（２）,皮膚科特定疾患指導管理料（２）,2,1,B,1,0,8
"113002410",在宅療養指導料,在宅療養指導料,2,1,B,1,0,13
"113002510",慢性維持透析患者外来医学管理料,慢性維持透析患者外来医学管理料,2,1,B,1,0,15
"113002610",救急救命管理料,救急救命管理料,2,1,B,6,0,0
"113002850",てんかん指導料,てんかん指導料,2,1,B,1,0,6
"113002910",難病外来指導管理料,難病外来指導管理料,2,1,B,1,0,7
"113003010",高度難聴指導管理料（術後３月以内）,高度難聴指導管理料（術後３月以内）,2,1,B,1,0,14
"113003110",高度難聴指導管理料（イ以外）,高度難聴指導管理料（イ以外の場合）,2,1,B,1,0,14
"113003210",ウイルス疾患指導料２,ウイルス疾患指導料２,2,1,B,1,0,1
"113003410",集団栄養食事指導料,集団栄養食事指導料,2,1,B,1,0,11
"113003510",小児科外来診療料（処方箋を交付）初診時,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付する場合）初診時（１日につき）,2,1,B,1,2,1
"113003610",小児科外来診療料（処方箋を交付）再診時,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付する場合）再診時（１日につき）,2,1,B,1,2,1
"113003710",小児科外来診療料（処方箋を交付しない）初診時,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付しない場合）初診時（１日につき）,2,1,B,1,2,2
"113003810",小児科外来診療料（処方箋を交付しない）再診時,小児科外来診療料（保険薬局において調剤を受けるために処方箋を交付しない場合）再診時（１日につき）,2,1,B,1,2,2
"113003910",生活習慣病管理料（処方箋を交付）（高血圧症を主病）,生活習慣病管理料（処方箋を交付）（高血圧症を主病とする場合）,2,1,B,1,3,1
"113004010",生活習慣病管理料（処方箋を交付しない）（高血圧症を主病）,生活習慣病管理料（処方箋を交付しない）（高血圧症を主病とする場合）,2,1,B,1,3,2
"113004110",手術前医学管理料,手術前医学管理料,2,1,B,1,4,0
"113004270",麻薬管理指導加算（薬剤管理指導料）,麻薬管理指導加算（薬剤管理指導料）,2,1,B,8,0,3
"113004310",療養費同意書交付料,療養費同意書交付料,2,1,B,13,0,0
"113004510",手術後医学管理料（病院）,手術後医学管理料（病院）（１日につき）,2,1,B,1,5,1
"113004610",手術後医学管理料（診療所）,手術後医学管理料（診療所）（１日につき）,2,1,B,1,5,2
"113004790",手術後医学管理料（１００分の９５）逓減,手術後医学管理料（１００分の９５）逓減,2,1,B,1,5,3
"113004910",喘息治療管理料１（２月目以降）,喘息治療管理料１（２月目以降）,2,1,B,1,0,16
"113005570",乳幼児時間外特例医療機関加算（外来診療料）（小児科外来診療料）,乳幼児時間外特例医療機関加算（外来診療料）（小児科外来診療料）,2,1,B,1,2,3
"113005710",喘息治療管理料１（１月目）,喘息治療管理料１（１月目）,2,1,B,1,0,16
"113005810",生活習慣病管理料（処方箋を交付）（脂質異常症を主病）,生活習慣病管理料（処方箋を交付）（脂質異常症を主病とする場合）,2,1,B,1,3,1
"113005910",生活習慣病管理料（処方箋を交付）（糖尿病を主病）,生活習慣病管理料（処方箋を交付）（糖尿病を主病とする場合）,2,1,B,1,3,1
"113006010",生活習慣病管理料（処方箋を交付しない）（脂質異常症を主病）,生活習慣病管理料（処方箋を交付しない）（脂質異常症を主病とする場合）,2,1,B,1,3,2
"113006110",生活習慣病管理料（処方箋を交付しない）（糖尿病を主病）,生活習慣病管理料（処方箋を交付しない）（糖尿病を主病とする場合）,2,1,B,1,3,2
"113006510",慢性疼痛疾患管理料,慢性疼痛疾患管理料,2,1,B,1,0,17
"113006610",小児悪性腫瘍患者指導管理料,小児悪性腫瘍患者指導管理料,2,1,B,1,0,18
"113006710",地域連携小児夜間・休日診療料１,地域連携小児夜間・休日診療料１,2,1,B,1,2,5
"113006910",肺血栓塞栓症予防管理料,肺血栓塞栓症予防管理料,2,1,B,1,6,0
"113007070",乳幼児夜間加算（小児科初診）（小児科外来診療料）,乳幼児夜間加算（小児科初診）（小児科外来診療料）,2,1,B,1,2,3
"113007170",乳幼児休日加算（小児科初診）（小児科外来診療料）,乳幼児休日加算（小児科初診）（小児科外来診療料）,2,1,B,1,2,3
"113007270",乳幼児深夜加算（小児科初診）（小児科外来診療料）,乳幼児深夜加算（小児科初診）（小児科外来診療料）,2,1,B,1,2,3
"113007370",乳幼児夜間加算（小児科再診）（小児科外来診療料）,乳幼児夜間加算（小児科再診）（小児科外来診療料）,2,1,B,1,2,3
"113007470",乳幼児休日加算（小児科再診）（小児科外来診療料）,乳幼児休日加算（小児科再診）（小児科外来診療料）,2,1,B,1,2,3
"113007570",乳幼児深夜加算（小児科再診）（小児科外来診療料）,乳幼児深夜加算（小児科再診）（小児科外来診療料）,2,1,B,1,2,3
"113007670",乳幼児夜間加算（小児科・外来診療料）（小児科外来診療料）,乳幼児夜間加算（小児科・外来診療料）（小児科外来診療料）,2,1,B,1,2,3
"113007770",乳幼児休日加算（小児科・外来診療料）（小児科外来診療料）,乳幼児休日加算（小児科・外来診療料）（小児科外来診療料）,2,1,B,1,2,3
"113007870",乳幼児深夜加算（小児科・外来診療料）（小児科外来診療料）,乳幼児深夜加算（小児科・外来診療料）（小児科外来診療料）,2,1,B,1,2,3
"113007970",後天性免疫不全症候群療養指導加算,後天性免疫不全症候群療養指導加算,2,1,B,1,0,1
"113008070",重度喘息患者治療管理加算（１月目）,重度喘息患者治療管理加算（１月目）,2,1,B,1,0,16
"113008170",重度喘息患者治療管理加算（２月目以降６月目まで）,重度喘息患者治療管理加算（２月目以降６月目まで）,2,1,B,1,0,16
"113008210",地域連携小児夜間・休日診療料２,地域連携小児夜間・休日診療料２,2,1,B,1,2,5
"113008310",ニコチン依存症管理料１（初回）,ニコチン依存症管理料１（初回）,2,1,B,1,3,5
"113008410",ニコチン依存症管理料１（２回目から４回目まで）（対面）,ニコチン依存症管理料１（２回目から４回目まで）（対面で行った場合）,2,1,B,1,3,5
"113008510",ニコチン依存症管理料１（５回目）,ニコチン依存症管理料１（５回目）,2,1,B,1,3,5
"113008610",退院時共同指導料１（在宅療養支援診療所）,退院時共同指導料１（在宅療養支援診療所の場合）,2,1,B,4,0,1
"113008710",退院時共同指導料１（１以外）,退院時共同指導料１（１以外の場合）,2,1,B,4,0,2
"113008910",退院時共同指導料２,退院時共同指導料２,2,1,B,5,0,1
"113009210",ハイリスク妊産婦共同管理料（１）,ハイリスク妊産婦共同管理料（１）,2,1,B,5,4,0
"113009310",ハイリスク妊産婦共同管理料（２）,ハイリスク妊産婦共同管理料（２）,2,1,B,5,5,0
"113009470",退院時診療状況添付加算,退院時診療状況添付加算,2,1,B,9,0,0
"113009510",診療情報提供料（２）,診療情報提供料（２）,2,1,B,10,0,0
"113009670",乳幼児時間外加算（初診）（小児科外来診療料）,乳幼児時間外加算（初診）（小児科外来診療料）,2,1,B,1,2,3
"113009770",乳幼児時間外加算（再診）（小児科外来診療料）,乳幼児時間外加算（再診）（小児科外来診療料）,2,1,B,1,2,3
"113009870",乳幼児時間外加算（外来診療料）（小児科外来診療料）,乳幼児時間外加算（外来診療料）（小児科外来診療料）,2,1,B,1,2,3
"113009910",小児特定疾患カウンセリング料（医師）（月の２回目）,小児特定疾患カウンセリング料（医師による場合）（月の２回目）,2,1,B,1,0,4
"113010010",糖尿病合併症管理料,糖尿病合併症管理料,2,1,B,1,0,20
"113010110",耳鼻咽喉科特定疾患指導管理料,耳鼻咽喉科特定疾患指導管理料,2,1,B,1,0,21
"113010370",血糖自己測定指導加算,血糖自己測定指導加算,2,1,B,1,3,3
"113010410",リンパ浮腫指導管理料,リンパ浮腫指導管理料,2,1,B,1,7,0
"113010570",保険医共同指導加算,保険医共同指導加算,2,1,B,5,0,2
"113010670",多機関共同指導加算,多機関共同指導加算,2,1,B,5,0,3
"113010810",薬剤管理指導料（安全管理を要する医薬品投与患者）,薬剤管理指導料（特に安全管理が必要な医薬品が投薬又は注射されている患者の場合）,2,1,B,8,0,1
"113010970",ハイリスク妊婦紹介加算,ハイリスク妊婦紹介加算,2,1,B,9,0,0
"113011070",認知症専門医療機関紹介加算,認知症専門医療機関紹介加算,2,1,B,9,0,0
"113011170",精神科医連携加算,精神科医連携加算,2,1,B,9,0,0
"113011210",医療機器安全管理料（生命維持管理装置使用）,医療機器安全管理料（臨床工学技士配置医療機関で生命維持管理装置を用いて治療を行う場合）（１月につき）,2,1,B,11,4,1
"113011310",医療機器安全管理料（放射線治療計画策定）,医療機器安全管理料（放射線治療機器管理体制整備医療機関で放射線治療計画を策定する場合）（一連につき）,2,1,B,11,4,2
"113011610",地域連携夜間・休日診療料,地域連携夜間・休日診療料,2,1,B,1,2,7
"113011710",介護支援等連携指導料,介護支援等連携指導料,2,1,B,5,1,2
"113012010",がん治療連携計画策定料１,がん治療連携計画策定料１,2,1,B,5,6,1
"113012110",がん治療連携指導料,がん治療連携指導料,2,1,B,5,6,3
"113012310",肝炎インターフェロン治療計画料,肝炎インターフェロン治療計画料,2,1,B,5,8,0
"113012570",認知症専門医療機関連携加算,認知症専門医療機関連携加算,2,1,B,9,0,0
"113012670",肝炎インターフェロン治療連携加算,肝炎インターフェロン治療連携加算,2,1,B,9,0,0
"113012710",導入期加算（心臓ペースメーカー指導管理料）,導入期加算（心臓ペースメーカー指導管理料）,2,1,B,1,0,12
"113012810",がん性疼痛緩和指導管理料,がん性疼痛緩和指導管理料,2,1,B,1,0,22
"113012970",小児加算（がん性疼痛緩和指導管理料）（１５歳未満）,小児加算（がん性疼痛緩和指導管理料）（１５歳未満）,2,1,B,1,0,22
"113013010",外来緩和ケア管理料,外来緩和ケア管理料,2,1,B,1,0,24
"113013170",小児加算（外来緩和ケア管理料）（１５歳未満）,小児加算（外来緩和ケア管理料）（１５歳未満）,2,1,B,1,0,24
"113013210",移植後患者指導管理料（臓器移植後）,移植後患者指導管理料（臓器移植後の場合）,2,1,B,1,0,25
"113013310",移植後患者指導管理料（造血幹細胞移植後）,移植後患者指導管理料（造血幹細胞移植後の場合）,2,1,B,1,0,25
"113013410",植込型輸液ポンプ持続注入療法指導管理料,植込型輸液ポンプ持続注入療法指導管理料,2,1,B,1,0,26
"113013570",導入期加算（植込型輸液ポンプ持続注入療法指導管理料）,導入期加算（植込型輸液ポンプ持続注入療法指導管理料）,2,1,B,1,0,26
"113013610",糖尿病透析予防指導管理料,糖尿病透析予防指導管理料,2,1,B,1,0,27
"113013710",院内トリアージ実施料,院内トリアージ実施料,2,1,B,1,2,8
"113013810",夜間休日救急搬送医学管理料,夜間休日救急搬送医学管理料,2,1,B,1,2,9
"113013910",外来リハビリテーション診療料１,外来リハビリテーション診療料１,2,1,B,1,2,10
"113014010",外来リハビリテーション診療料２,外来リハビリテーション診療料２,2,1,B,1,2,10
"113014110",外来放射線照射診療料,外来放射線照射診療料,2,1,B,1,2,11
"113014270",外来放射線照射診療料（４日以上予定なし）減算,外来放射線照射診療料（４日以上予定なし）減算,2,1,B,1,2,11
"113014370",特別管理指導加算（退院時共同指導料１）,特別管理指導加算（退院時共同指導料１）,2,1,B,4,0,3
"113014410",がん治療連携計画策定料２,がん治療連携計画策定料２,2,1,B,5,6,2
"113014610",認知症専門診断管理料２,認知症専門診断管理料２,2,1,B,5,7,2
"113014710",認知症療養指導料１,認知症療養指導料１,2,1,B,5,7,3
"113015010",心臓ペースメーカー指導管理料（着用型自動除細動器）,心臓ペースメーカー指導管理料（着用型自動除細動器による場合）,2,1,B,1,0,12
"113015130",心臓ペースメーカー指導管理料（イ・植込型除細動器移行期加算含む）,心臓ペースメーカー指導管理料（着用型自動除細動器による場合の植込型除細動器移行期加算を含む。）,2,1,B,1,0,12
"113015210",がん患者指導管理料（医師と看護師の共同診療方針等を文書等で提供）,がん患者指導管理料（医師が看護師と共同して診療方針等を話し合い、その内容を文書等により提供した場合）,2,1,B,1,0,23
"113015310",がん患者指導管理料（医師・看護師が心理的不安軽減のため面接）,がん患者指導管理料（医師又は看護師が心理的不安を軽減するための面接を行った場合）,2,1,B,1,0,23
